"  DateTime","Temp.[C]"
"2020/9/21 8:23:01","+34.5010"
"2020/9/21 8:23:21","+34.5010"
"2020/9/21 8:23:41","+34.5010"
"2020/9/21 8:24:01","+34.4387"
"2020/9/21 8:24:21","+34.4387"
"2020/9/21 8:24:41","+34.4387"
"2020/9/21 8:25:01","+34.4387"
"2020/9/21 8:25:21","+34.4387"
"2020/9/21 8:25:41","+34.3763"
"2020/9/21 8:26:01","+34.4387"
"2020/9/21 8:26:21","+34.4387"
"2020/9/21 8:26:41","+34.4387"
"2020/9/21 8:27:01","+34.4387"
"2020/9/21 8:27:21","+34.4387"
"2020/9/21 8:27:41","+34.5010"
"2020/9/21 8:28:01","+34.5010"
"2020/9/21 8:28:21","+34.5010"
"2020/9/21 8:28:41","+34.5010"
"2020/9/21 8:29:01","+34.5010"
"2020/9/21 8:29:21","+34.5010"
"2020/9/21 8:29:41","+34.5010"
"2020/9/21 8:30:01","+34.5010"
"2020/9/21 8:30:21","+34.5010"
"2020/9/21 8:30:41","+34.5010"
"2020/9/21 8:31:01","+34.5010"
"2020/9/21 8:31:21","+34.5010"
"2020/9/21 8:31:41","+34.5010"
"2020/9/21 8:32:01","+34.5010"
"2020/9/21 8:32:21","+34.5010"
"2020/9/21 8:32:41","+34.5010"
"2020/9/21 8:33:01","+34.5010"
"2020/9/21 8:33:21","+34.4387"
"2020/9/21 8:33:41","+34.4387"
"2020/9/21 8:34:01","+34.4387"
"2020/9/21 8:34:21","+34.4387"
"2020/9/21 8:34:41","+34.4387"
"2020/9/21 8:35:01","+34.4387"
"2020/9/21 8:35:21","+34.4387"
"2020/9/21 8:35:41","+34.4387"
"2020/9/21 8:36:01","+34.4387"
"2020/9/21 8:36:21","+34.4387"
"2020/9/21 8:36:41","+34.4387"
"2020/9/21 8:37:01","+34.3763"
"2020/9/21 8:37:21","+34.2516"
"2020/9/21 8:37:41","+34.1269"
"2020/9/21 8:38:01","+34.0021"
"2020/9/21 8:38:21","+33.9398"
"2020/9/21 8:38:41","+33.8774"
"2020/9/21 8:39:01","+33.8774"
"2020/9/21 8:39:21","+33.8150"
"2020/9/21 8:39:41","+33.8150"
"2020/9/21 8:40:01","+33.7527"
"2020/9/21 8:40:21","+33.6903"
"2020/9/21 8:40:41","+33.6279"
"2020/9/21 8:41:01","+33.6279"
"2020/9/21 8:41:21","+33.6279"
"2020/9/21 8:41:41","+33.6903"
"2020/9/21 8:42:01","+33.6903"
"2020/9/21 8:42:21","+33.7527"
"2020/9/21 8:42:41","+33.7527"
"2020/9/21 8:43:01","+33.8150"
"2020/9/21 8:43:21","+33.8150"
"2020/9/21 8:43:41","+33.8150"
"2020/9/21 8:44:01","+33.8774"
"2020/9/21 8:44:21","+33.9398"
"2020/9/21 8:44:41","+33.9398"
"2020/9/21 8:45:01","+33.9398"
"2020/9/21 8:45:21","+33.9398"
"2020/9/21 8:45:41","+33.9398"
"2020/9/21 8:46:01","+33.9398"
"2020/9/21 8:46:21","+33.9398"
"2020/9/21 8:46:41","+34.0021"
"2020/9/21 8:47:01","+34.0021"
"2020/9/21 8:47:21","+34.0021"
"2020/9/21 8:47:41","+34.0021"
"2020/9/21 8:48:01","+34.0021"
"2020/9/21 8:48:21","+34.0645"
"2020/9/21 8:48:41","+34.1269"
"2020/9/21 8:49:01","+34.1269"
"2020/9/21 8:49:21","+34.1269"
"2020/9/21 8:49:41","+34.1269"
"2020/9/21 8:50:01","+34.1269"
"2020/9/21 8:50:21","+34.1269"
"2020/9/21 8:50:41","+34.1269"
"2020/9/21 8:51:01","+34.1269"
"2020/9/21 8:51:21","+34.1892"
"2020/9/21 8:51:41","+34.1269"
"2020/9/21 8:52:01","+34.1269"
"2020/9/21 8:52:21","+34.1269"
"2020/9/21 8:52:41","+34.1269"
"2020/9/21 8:53:01","+34.1269"
"2020/9/21 8:53:21","+34.1269"
"2020/9/21 8:53:41","+34.1269"
"2020/9/21 8:54:01","+34.1269"
"2020/9/21 8:54:21","+34.1269"
"2020/9/21 8:54:41","+34.1269"
"2020/9/21 8:55:01","+34.1269"
"2020/9/21 8:55:21","+34.1269"
"2020/9/21 8:55:41","+34.1269"
"2020/9/21 8:56:01","+34.1269"
"2020/9/21 8:56:21","+34.1269"
"2020/9/21 8:56:41","+34.1269"
"2020/9/21 8:57:01","+34.1892"
"2020/9/21 8:57:21","+34.1892"
"2020/9/21 8:57:41","+34.1892"
"2020/9/21 8:58:01","+34.1892"
"2020/9/21 8:58:21","+34.1892"
"2020/9/21 8:58:41","+34.1892"
"2020/9/21 8:59:01","+34.2516"
"2020/9/21 8:59:21","+34.2516"
"2020/9/21 8:59:41","+34.2516"
"2020/9/21 9:00:01","+34.2516"
"2020/9/21 9:00:21","+34.3139"
"2020/9/21 9:00:41","+34.3139"
"2020/9/21 9:01:01","+34.2516"
